#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
77,Zach Randolph,SAC,59,25.6,6.1,12.9,.473,0.9,2.5,.347,1.4,1.8,.785,2.0,2.0,1.6,5.1,6.7,2.2,0.7,0.2,14.5
78,Jusuf Nurkic,POR,79,26.4,6.1,12.0,.505,0.0,0.1,.000,2.2,3.5,.630,2.3,3.1,2.4,6.6,9.0,1.8,0.8,1.4,14.3
79,Dion Waiters,MIA,30,30.6,5.4,13.7,.398,1.7,5.7,.306,1.7,2.3,.739,2.3,2.0,0.3,2.3,2.6,3.8,0.8,0.3,14.3
80,Bojan Bogdanovic,IND,80,30.8,5.0,10.7,.474,1.9,4.8,.402,2.2,2.6,.868,1.3,1.6,0.4,3.0,3.4,1.5,0.7,0.1,14.3
81,Avery Bradley,LAC,46,31.2,5.6,13.6,.414,1.6,4.4,.369,1.4,1.8,.768,2.2,2.0,0.5,2.0,2.5,2.0,1.1,0.2,14.3
82,Jeff Teague,MIN,70,33.0,5.1,11.3,.446,1.2,3.3,.368,2.9,3.4,.845,2.5,2.4,0.3,2.6,3.0,7.0,1.5,0.3,14.2
83,Taurean Prince,ATL,82,30.0,5.1,11.9,.426,2.1,5.6,.385,1.9,2.2,.844,2.3,2.0,0.6,4.1,4.7,2.6,1.0,0.5,14.1
84,Enes Kanter,NYK,71,25.8,5.9,10.0,.592,0.0,0.0,.000,2.2,2.6,.848,1.7,2.6,3.8,7.1,11.0,1.5,0.5,0.5,14.1
85,Hassan Whiteside,MIA,54,25.3,5.8,10.7,.540,0.0,0.0,1.000,2.4,3.4,.703,1.7,2.4,3.2,8.2,11.4,1.0,0.7,1.7,14.0
86,Jonathon Simmons,ORL,69,29.4,5.1,11.0,.465,1.0,3.0,.338,2.7,3.5,.768,2.1,2.5,0.9,2.6,3.5,2.5,0.8,0.2,13.9
87,Rondae Hollis-Jefferson,BRK,68,28.2,5.0,10.6,.472,0.2,0.8,.241,3.7,4.6,.788,1.8,2.1,1.5,5.3,6.8,2.5,1.0,0.7,13.9
88,Jayson Tatum,BOS,80,30.5,5.0,10.4,.475,1.3,3.0,.434,2.7,3.2,.826,1.4,2.1,0.6,4.4,5.0,1.6,1.0,0.7,13.9
89,Steven Adams,OKC,76,32.7,5.9,9.4,.629,0.0,0.0,.000,2.1,3.8,.559,1.7,2.8,5.1,4.0,9.0,1.2,1.2,1.0,13.9
90,Jordan Clarkson,CLE,81,23.3,5.3,11.8,.451,1.4,3.9,.352,1.9,2.3,.800,1.6,1.3,0.7,2.0,2.7,2.7,0.7,0.1,13.9
91,Clint Capela,HOU,74,27.5,6.0,9.1,.652,0.0,0.0,.000,1.9,3.5,.560,1.4,2.5,3.3,7.6,10.8,0.9,0.8,1.9,13.9
92,Marcus Morris,BOS,54,26.8,4.9,11.3,.429,1.6,4.3,.368,2.3,2.9,.805,1.2,1.9,0.8,4.6,5.4,1.3,0.6,0.2,13.6
93,Rudy Gobert,UTA,56,32.4,4.9,7.9,.622,0.0,0.0,.000,3.6,5.3,.682,1.9,2.7,2.9,7.8,10.7,1.4,0.8,2.3,13.5
94,Buddy Hield,SAC,80,25.3,5.2,11.7,.446,2.2,5.1,.431,0.9,1.0,.877,1.6,1.9,0.7,3.1,3.8,1.9,1.1,0.3,13.5
95,DeMarre Carroll,BRK,73,29.9,4.5,10.8,.414,2.0,5.4,.371,2.6,3.4,.764,1.4,2.3,1.4,5.1,6.6,2.0,0.8,0.4,13.5
96,Kris Dunn,CHI,52,29.3,5.5,12.8,.429,0.8,2.6,.321,1.6,2.2,.737,2.9,3.3,0.5,3.8,4.2,6.0,2.0,0.5,13.4
97,Kentavious Caldwell-Pope,LAL,74,33.2,4.6,10.8,.426,2.1,5.6,.383,2.1,2.6,.789,1.3,2.0,0.8,4.4,5.2,2.2,1.4,0.2,13.4
98,Bobby Portis,CHI,73,22.5,5.2,11.1,.471,1.1,3.1,.359,1.6,2.1,.769,1.4,1.8,2.2,4.6,6.8,1.7,0.7,0.3,13.2
99,Allen Crabbe,BRK,75,29.3,4.5,11.0,.407,2.7,7.1,.378,1.5,1.8,.852,1.0,2.2,0.4,3.9,4.3,1.6,0.6,0.5,13.2
100,Michael Beasley,NYK,74,22.3,5.5,10.9,.507,0.5,1.2,.395,1.7,2.1,.780,1.9,2.0,1.3,4.3,5.6,1.7,0.5,0.6,13.2
101,Josh Jackson,PHX,77,25.4,5.1,12.1,.417,0.7,2.8,.263,2.3,3.6,.634,1.9,2.8,1.2,3.3,4.6,1.5,1.0,0.5,13.1
102,Ricky Rubio,UTA,77,29.3,4.5,10.7,.418,1.2,3.5,.352,2.9,3.3,.866,2.7,2.7,0.6,4.0,4.6,5.3,1.6,0.1,13.1
103,Malcolm Brogdon,MIL,48,29.9,5.1,10.5,.485,1.3,3.4,.385,1.6,1.8,.882,1.4,2.7,0.5,2.8,3.2,3.2,0.9,0.3,13.0
104,Brook Lopez,LAL,74,23.4,5.0,10.7,.465,1.5,4.4,.345,1.5,2.1,.703,1.3,2.6,1.0,3.0,4.0,1.7,0.4,1.3,13.0
105,Jeremy Lamb,CHA,80,24.6,4.8,10.4,.457,1.2,3.2,.370,2.2,2.6,.861,1.2,1.7,0.6,3.4,4.0,2.3,0.8,0.4,12.9
106,Josh Richardson,MIA,81,33.2,4.9,10.9,.451,1.6,4.1,.378,1.5,1.8,.845,1.7,2.5,0.9,2.7,3.5,2.9,1.5,0.9,12.9
107,Al Horford,BOS,72,31.6,5.1,10.5,.489,1.3,3.1,.429,1.3,1.7,.783,1.8,1.9,1.4,5.9,7.4,4.7,0.6,1.1,12.9
108,Kent Bazemore,ATL,65,27.5,4.4,10.4,.420,1.7,4.2,.394,2.5,3.1,.796,2.4,2.3,0.4,3.4,3.8,3.5,1.5,0.7,12.9
109,Trey Burke,NYK,36,21.8,5.4,10.7,.503,1.1,2.9,.362,1.0,1.6,.649,1.2,1.2,0.4,1.6,2.0,4.7,0.7,0.1,12.8
110,Willie Cauley-Stein,SAC,73,28.0,5.3,10.6,.502,0.0,0.2,.250,2.1,3.4,.619,1.5,2.5,1.8,5.2,7.0,2.4,1.1,0.9,12.8
111,Myles Turner,IND,65,28.3,4.7,9.8,.479,0.9,2.4,.357,2.5,3.2,.777,1.5,2.9,1.4,5.0,6.4,1.3,0.6,1.8,12.7
112,Wesley Matthews,DAL,63,33.8,4.5,11.1,.406,2.4,6.4,.381,1.3,1.6,.822,1.3,2.2,0.4,2.7,3.1,2.7,1.2,0.3,12.7
113,Jonas Valanciunas,TOR,77,22.4,5.1,8.9,.568,0.4,1.0,.405,2.2,2.7,.806,1.5,2.5,2.4,6.2,8.6,1.1,0.4,0.9,12.7
114,Elfrid Payton,PHX,63,28.7,5.2,10.6,.493,0.5,1.5,.326,1.7,2.7,.649,2.7,2.3,1.0,3.3,4.3,6.2,1.3,0.3,12.7
115,Serge Ibaka,TOR,76,27.5,5.0,10.3,.483,1.4,3.9,.360,1.2,1.6,.797,1.2,2.8,1.0,5.3,6.3,0.8,0.4,1.3,12.6
116,Jabari Parker,MIL,31,24.0,5.2,10.7,.482,1.0,2.6,.383,1.3,1.7,.741,1.5,1.6,1.4,3.5,4.9,1.9,0.8,0.3,12.6
117,Robert Covington,PHI,80,31.6,4.3,10.4,.413,2.5,6.9,.369,1.4,1.7,.853,1.6,3.0,0.7,4.7,5.4,1.9,1.7,0.9,12.6
118,Spencer Dinwiddie,BRK,80,28.8,4.0,10.5,.387,1.8,5.4,.326,2.7,3.4,.813,1.6,2.3,0.5,2.7,3.2,6.5,0.8,0.3,12.6
119,E'Twaun Moore,NOP,82,31.5,5.2,10.1,.508,1.6,3.7,.425,0.6,0.8,.706,1.2,2.2,0.7,2.2,2.9,2.3,1.0,0.1,12.5
120,Darren Collison,IND,69,29.3,4.6,9.2,.495,1.4,3.0,.468,1.8,2.1,.882,1.2,1.8,0.5,2.0,2.6,5.3,1.3,0.2,12.4
121,Derrick Favors,UTA,77,28.0,5.1,9.1,.563,0.2,0.8,.222,1.8,2.8,.651,1.1,2.1,2.6,4.6,7.2,1.3,0.7,1.1,12.3
122,Taj Gibson,MIN,82,33.3,5.2,9.0,.577,0.1,0.4,.200,1.7,2.3,.768,1.1,2.7,2.4,4.8,7.1,1.2,0.8,0.7,12.2
123,Patrick Beverley,LAC,11,30.3,4.4,10.8,.403,2.2,5.5,.400,1.3,1.5,.824,2.3,3.1,1.5,2.6,4.1,2.9,1.7,0.5,12.2
124,Justin Holiday,CHI,72,31.5,4.0,10.9,.371,2.2,6.2,.359,1.9,2.3,.823,1.3,1.9,0.4,3.6,4.0,2.1,1.1,0.4,12.2
125,Marco Belinelli,PHI,80,24.3,4.2,9.6,.441,1.9,4.9,.377,1.9,2.0,.908,1.2,1.1,0.2,1.6,1.9,1.9,0.8,0.1,12.1
126,Gerald Green,HOU,41,22.7,4.1,10.1,.407,2.7,7.3,.369,1.2,1.5,.850,0.8,2.1,0.3,2.9,3.2,0.6,0.6,0.4,12.1
127,Caris LeVert,BRK,71,26.2,4.5,10.4,.435,1.2,3.5,.347,1.9,2.6,.711,2.2,2.2,0.7,2.9,3.7,4.2,1.2,0.3,12.1
128,DeAndre Jordan,LAC,77,31.5,4.8,7.5,.645,0.0,0.0,.000,2.4,4.1,.580,1.8,2.6,4.3,10.9,15.2,1.5,0.5,0.9,12.0
129,Dirk Nowitzki,DAL,77,24.7,4.5,9.8,.456,1.8,4.4,.409,1.3,1.4,.898,0.7,1.9,0.3,5.4,5.7,1.6,0.6,0.6,12.0
130,Courtney Lee,NYK,76,30.4,4.5,9.9,.454,1.5,3.7,.406,1.5,1.6,.919,1.1,1.4,0.4,2.6,2.9,2.4,1.1,0.2,12.0
131,Andre Ingram,LAL,2,32.1,4.0,8.5,.471,2.5,4.5,.556,1.5,1.5,1.000,1.5,1.5,0.5,2.5,3.0,3.5,1.5,1.5,12.0
132,Robin Lopez,CHI,64,26.4,5.3,10.1,.530,0.1,0.2,.286,1.1,1.4,.756,1.7,1.7,2.1,2.4,4.5,1.9,0.2,0.8,11.8
133,Thaddeus Young,IND,81,32.2,5.2,10.7,.487,0.7,2.2,.320,0.7,1.1,.598,1.3,2.2,2.3,4.0,6.3,1.9,1.7,0.4,11.8
134,"Kelly Oubre, Jr.",WAS,81,27.5,3.9,9.8,.403,1.6,4.6,.341,2.4,2.9,.820,1.1,2.9,0.7,3.8,4.5,1.2,1.0,0.4,11.8
135,Bogdan Bogdanovic,SAC,78,27.9,4.4,9.9,.446,1.7,4.2,.392,1.3,1.5,.840,1.6,2.2,0.4,2.5,2.9,3.3,0.9,0.2,11.8
136,Tyler Johnson,MIA,72,28.5,4.3,9.9,.435,1.7,4.5,.367,1.5,1.8,.822,1.1,2.1,0.5,3.0,3.4,2.3,0.8,0.5,11.7
137,Trevor Ariza,HOU,67,33.9,4.0,9.7,.412,2.5,6.9,.368,1.1,1.3,.854,0.8,2.0,0.5,3.9,4.4,1.6,1.5,0.2,11.7
138,Domas Sabonis,IND,74,24.5,4.6,8.9,.514,0.2,0.5,.351,2.3,3.0,.750,1.9,3.0,2.2,5.5,7.7,2.0,0.5,0.4,11.6
139,J.J. Barea,DAL,69,23.2,4.4,10.0,.439,1.7,4.5,.367,1.2,1.5,.784,2.1,1.2,0.2,2.7,2.9,6.3,0.5,0.0,11.6
140,Nicolas Batum,CHA,64,31.0,4.2,10.2,.415,1.4,4.3,.336,1.7,2.0,.831,2.0,1.1,0.9,3.9,4.8,5.5,1.0,0.4,11.6
141,De'Aaron Fox,SAC,73,27.7,4.5,10.9,.412,0.6,2.1,.307,1.9,2.7,.723,2.4,2.2,0.5,2.3,2.8,4.4,1.0,0.3,11.6
142,Markieff Morris,WAS,73,27.0,4.5,9.4,.480,1.0,2.8,.367,1.4,1.8,.820,1.7,3.0,1.0,4.6,5.6,1.9,0.8,0.5,11.5
143,Rudy Gay,SAS,57,21.6,4.4,9.4,.471,0.6,2.1,.314,2.0,2.5,.772,1.4,1.7,1.3,3.8,5.1,1.3,0.8,0.7,11.5
144,Kelly Olynyk,MIA,76,23.4,4.2,8.4,.497,1.4,3.7,.379,1.8,2.3,.770,1.9,2.9,1.2,4.5,5.7,2.7,0.8,0.5,11.5
145,Joe Ingles,UTA,82,31.4,4.1,8.8,.467,2.5,5.7,.440,0.8,1.0,.795,1.9,2.2,0.3,3.9,4.2,4.8,1.1,0.2,11.5
146,Dwyane Wade,MIA,67,22.9,4.5,10.2,.438,0.5,1.7,.288,2.0,2.8,.714,2.1,1.9,0.7,3.0,3.8,3.4,0.9,0.7,11.4
147,Reggie Bullock,DET,62,27.9,4.3,8.8,.489,2.0,4.5,.445,0.6,0.8,.796,0.8,1.1,0.4,2.0,2.5,1.5,0.8,0.2,11.3
148,Terry Rozier,BOS,80,25.9,4.0,10.0,.395,1.9,5.0,.381,1.4,1.9,.772,1.0,1.5,0.8,3.9,4.7,2.9,1.0,0.2,11.2
149,Wayne Ellington,MIA,77,26.5,3.7,9.1,.407,2.9,7.5,.392,0.9,1.0,.859,0.7,1.2,0.3,2.5,2.8,1.0,0.7,0.1,11.2
150,Frank Kaminsky,CHA,79,23.2,3.9,9.1,.429,1.3,3.5,.380,2.0,2.5,.799,0.8,1.2,0.6,3.1,3.6,1.6,0.5,0.2,11.1
151,Draymond Green,GSW,70,32.7,4.0,8.8,.454,1.1,3.7,.301,1.9,2.5,.775,2.9,2.6,1.1,6.6,7.6,7.3,1.4,1.3,11.0
152,Montrezl Harrell,LAC,76,17.0,4.6,7.2,.635,0.0,0.1,.143,1.8,2.9,.626,0.9,1.9,1.4,2.7,4.0,1.0,0.5,0.7,11.0
153,Dillon Brooks,MEM,82,28.7,4.1,9.4,.440,1.1,3.2,.356,1.5,2.0,.747,1.5,2.8,0.6,2.5,3.1,1.6,0.9,0.2,11.0
154,Ish Smith,DET,82,24.9,4.7,9.8,.486,0.4,1.2,.347,1.0,1.4,.698,1.3,1.7,0.3,2.4,2.7,4.4,0.8,0.2,10.9
